易发TV,#genre#
八大戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5564.m3u8
八大娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5563.m3u8
八大第一 HD,http://startv365.com:80/live/9794783213/6955630461/5562.m3u8
八大综合 HD,http://startv365.com:80/live/9794783213/6955630461/5561.m3u8
博斯高球1台 HD,http://startv365.com:80/live/9794783213/6955630461/5560.m3u8
博斯高球2台 HD,http://startv365.com:80/live/9794783213/6955630461/5559.m3u8
博斯体育1台 HD,http://startv365.com:80/live/9794783213/6955630461/5558.m3u8
博斯体育2台 HD,http://startv365.com:80/live/9794783213/6955630461/5557.m3u8
中天亚洲台 HD,http://startv365.com:80/live/9794783213/6955630461/5555.m3u8
中天娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5554.m3u8
中天综合 HD,http://startv365.com:80/live/9794783213/6955630461/5552.m3u8
华视 HD,http://startv365.com:80/live/9794783213/6955630461/5551.m3u8
公视1台 HD,http://startv365.com:80/live/9794783213/6955630461/5550.m3u8
公视2台 HD,http://startv365.com:80/live/9794783213/6955630461/5549.m3u8
大爱2台 HD,http://startv365.com:80/live/9794783213/6955630461/5548.m3u8
大爱1台 HD,http://startv365.com:80/live/9794783213/6955630461/5547.m3u8
爱尔达戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5546.m3u8
爱尔达体育2台 HD,http://startv365.com:80/live/9794783213/6955630461/5545.m3u8
爱尔达体育3台 HD,http://startv365.com:80/live/9794783213/6955630461/5544.m3u8
爱尔达影剧 HD,http://startv365.com:80/live/9794783213/6955630461/5542.m3u8
爱尔达综合 HD,http://startv365.com:80/live/9794783213/6955630461/5541.m3u8
东森亚洲 HD,http://startv365.com:80/live/9794783213/6955630461/5540.m3u8
东森财经 HD,http://startv365.com:80/live/9794783213/6955630461/5539.m3u8
东森戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5538.m3u8
东森电影 HD,http://startv365.com:80/live/9794783213/6955630461/5537.m3u8
东森新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5536.m3u8
东森洋片 HD,http://startv365.com:80/live/9794783213/6955630461/5534.m3u8
壹电视旅游台 HD,http://startv365.com:80/live/9794783213/6955630461/5533.m3u8
壹电视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5532.m3u8
非凡新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5531.m3u8
民视高清台 HD,http://startv365.com:80/live/9794783213/6955630461/5530.m3u8
民视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5529.m3u8
民视台湾台 HD,http://startv365.com:80/live/9794783213/6955630461/5528.m3u8
好电视2台 HD,http://startv365.com:80/live/9794783213/6955630461/5527.m3u8
